pair,name,market,symbol,initial_capital,final_equity,total_return,net_profit,max_dd,max_dd_pct,worst_day,best_day,turnover,net_profit_per_1m_turnover,capital_efficiency,avg_capital_tied,time_to_recovery_bars,longest_underwater_bars,time_underwater_frac,sharpe,sortino,calmar,liquidated,liquidation_count,num_trades,days,fees,score,lens,side,gross_grid_profit,spot_trading_fee,rebate,spread_cost,slippage,inventory_pnl,directional_pnl,funding_paid,funding_received,net_funding,liquidation_loss,x_dir_frac,x_grid_mode,x_fill,x_rebate,x_final_qty,x_avg_cost,etf_grid_value_add,futures_fee,x_min_liquidation_buffer,x_min_margin_ratio,x_forced_deleveraging_count,x_reserve_left,x_target_notional,x_margin_mode,x_reserve_plan,x_leverage_hint,x_add_trigger,perp_grid_value_add,exante_beta,matched_notional,etf_vol,und_vol
SNXX,B_same_expo_conservative,perp,SNXX_USDT,1000.0,1816.016,0.816016,816.016,391.0523,0.391052,-0.236063,0.242324,121654.118066,6707.673,1.29551,629.8803,465,631,0.576256,3.4442,4.3551,301.2635,False,0,743,45.583,2.4331,0.742678,same_exposure,long,1001.74306,,7.299247,0.0,0.0,-173.778511,-175.011377,10.715643,0.0,-10.715643,0.0,,,conservative,0.75,,,,2.433082,0.9626018787641912,10.0,0.0,0.0,2633.380300526389,isolated,P1,2.633380300526389,0.15,,2.633380300526389,2633.380300526389,,
SNXX,A2_same_risk_conservative,spot,SNXX3L_USDT,1000.0,753.3126,-0.246687,-246.6874,719.7025,0.719702,-0.467152,0.342613,22044.596408,-11190.38,-0.582566,423.4495,465,623,0.56895,0.9636,1.0375,-1.2457,False,0,480,45.583,5.2907,-0.28952,same_risk,long,-213.801515,5.290703,12.344974,0.0,0.0,-30.157229,-32.885896,0.0,0.0,0.0,0.0,0.0,native_atr,conservative,0.7,396.68276105359104,1.2177235442100711,,,,,,,,,,,,,,2596.934395497107,0.1612822089962356,0.06210484534221854
SNXX,B_same_risk_conservative,perp,SNXX_USDT,1000.0,1805.2848,0.805285,805.2848,388.7642,0.388764,-0.234009,0.240452,119973.622409,6712.1822,1.280797,628.7375,465,631,0.576256,3.4327,4.3344,288.8721,False,0,743,45.583,2.3995,0.742603,same_risk,long,988.406951,,7.198417,0.0,0.0,-171.33599,-172.551827,10.570309,0.0,-10.570309,0.0,,,conservative,0.75,,,,2.399472,0.9634651095997909,10.0,0.0,0.0,2596.934395497107,isolated,P1,2.5969343954971067,0.15,,,2596.934395497107,0.1612822089962356,0.06210484534221854
AAOI,A0_cash,cash,USDT,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,False,0,0,3.542,0.0,0.35,benchmark,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAOI,A1_etf_hold,spot,AAOI3L_USDT,1000.0,848.7134,-0.151287,-151.2866,258.5376,0.258538,-0.143962,0.099784,999.745,-151325.212,-0.169912,890.3845,47,85,0.988372,-3.8469,-5.7955,-3.8679,False,0,1,3.542,0.255,-0.013003,benchmark,long,0.0,0.255,0.595,0.0,0.0,-151.031624,-151.286624,0.0,0.0,0.0,0.0,0.0,native_atr,base,0.7,1067.7385936431988,0.93632,,,,,,,,,,,,,,,,
AAOI,B1_spot_hold,spot,AAOI_USDT,1000.0,947.0172,-0.052983,-52.9828,95.8735,0.095873,-0.04792,0.030786,999.745,-52996.3428,-0.05516,960.5257,47,80,0.930233,-4.215,-6.0138,-10.3922,False,0,1,3.542,0.255,0.12357,benchmark,long,0.0,0.255,0.595,0.0,0.0,-52.727829,-52.982829,0.0,0.0,0.0,0.0,0.0,native_atr,base,0.7,9.059764386044405,110.35,,,,,,,,,,,,,,,,
AAOI,B2_spot_grid,spot,AAOI_USDT,1000.0,1001.6927,0.001693,1.6927,24.9568,0.024957,-0.017802,0.027058,4250.487611,398.2249,0.004111,411.7222,13,32,0.372093,1.3377,3.2551,7.6294,False,0,59,3.542,1.0201,0.372823,benchmark,long,5.560987,1.020117,2.380273,0.0,0.0,-3.299293,-3.868337,0.0,0.0,0.0,0.0,0.0,native_atr,base,0.7,4.728383378729979,105.22776334088007,,,,,,,,,,,,,,,,
AAOI,A2_etf_native_atr_d0.0_reb_base,spot,AAOI3L_USDT,1000.0,948.7418,-0.051258,-51.2582,153.4801,0.15348,-0.09993,0.092084,1765.131735,-29039.3002,-0.080174,639.3368,47,55,0.639535,-2.3008,-4.3355,-6.4867,False,0,25,3.542,0.4236,0.096894,same_wallet,long,-23.088465,0.423632,0.988474,0.0,0.0,-27.847128,-28.169726,0.0,0.0,0.0,0.0,0.0,native_atr,base,0.7,1097.4716584573775,0.8202438925813976,100.02843374148847,,,,,,,,,,,,,,,
AAOI,A2_etf_underlying_equiv_d0.0_reb_base,spot,AAOI3L_USDT,1000.0,994.5981,-0.005402,-5.4019,44.3544,0.044354,-0.031696,0.038718,2145.915889,-2517.2822,-0.027132,199.0977,14,32,0.372093,-0.0079,-0.0161,-9.6444,False,0,83,3.542,0.515,0.19604,same_wallet,long,2.18196,0.51502,1.201713,0.0,0.0,-7.29375,-7.583835,0.0,0.0,0.0,0.0,0.0,underlying_equiv,base,0.7,335.36783891444475,0.8166185084499499,145.88474816765836,,,,,,,,,,,,,,,
AAOI,A2_etf_static_pct_d0.0_reb_base,spot,AAOI3L_USDT,1000.0,944.4942,-0.055506,-55.5058,156.9885,0.156988,-0.101647,0.090375,2138.11159,-25960.1838,-0.087842,631.8849,47,55,0.639535,-2.5041,-4.5783,-6.3522,False,0,44,3.542,0.5131,0.09133,same_wallet,long,-31.991494,0.513147,1.197342,0.0,0.0,-23.148435,-23.514276,0.0,0.0,0.0,0.0,0.0,static_pct,base,0.7,1076.3649271404636,0.8163761215588718,95.78085420324226,,,,,,,,,,,,,,,
AAOI,A2_etf_native_atr_d0.5_reb_base,spot,AAOI3L_USDT,1000.0,897.6198,-0.10238,-102.3802,186.41,0.18641,-0.12114,0.095703,1382.622086,-74047.8473,-0.132574,772.2491,47,85,0.988372,-3.1436,-5.2077,-5.3644,False,0,26,3.542,0.3394,0.045404,same_wallet,long,-23.316068,0.33936,0.79184,0.0,0.0,-78.775303,-79.064121,0.0,0.0,0.0,0.0,0.5,native_atr,base,0.7,1081.1800770279413,0.8677304832642048,48.906434903212244,,,,,,,,,,,,,,,
AAOI,A2_etf_underlying_equiv_d0.5_reb_base,spot,AAOI3L_USDT,1000.0,921.6772,-0.078323,-78.3228,150.9734,0.150973,-0.085855,0.066314,1576.023002,-49696.4909,-0.143747,544.866,47,85,0.988372,-3.0963,-4.8835,-6.6222,False,0,84,3.542,0.3858,0.066341,same_wallet,long,-33.397364,0.385776,0.900144,0.0,0.0,-44.652525,-44.925448,0.0,0.0,0.0,0.0,0.5,underlying_equiv,base,0.7,701.5593980063641,0.8585175326719285,72.9638112495835,,,,,,,,,,,,,,,
AAOI,A2_etf_static_pct_d0.5_reb_base,spot,AAOI3L_USDT,1000.0,895.83,-0.10417,-104.17,187.5367,0.187537,-0.121882,0.094805,1586.553058,-65658.0448,-0.135852,766.7904,47,85,0.988372,-3.2314,-5.2931,-5.3322,False,0,45,3.542,0.3883,0.043236,same_wallet,long,-31.887286,0.388303,0.906041,0.0,0.0,-71.970157,-72.282685,0.0,0.0,0.0,0.0,0.5,static_pct,base,0.7,1071.013187238006,0.8620681984203266,47.11665237157786,,,,,,,,,,,,,,,
AAOI,A2_etf_native_atr_d0.0_noreb_base,spot,AAOI3L_USDT,1000.0,947.7654,-0.052235,-52.2346,153.8464,0.153846,-0.100747,0.092048,1763.896164,-29613.187,-0.081761,638.8694,47,55,0.639535,-2.3485,-4.3927,-6.4742,False,0,25,3.542,1.4111,0.095819,same_wallet,long,-23.307532,1.411117,0.0,0.0,0.0,-27.852524,-28.927055,0.0,0.0,0.0,0.0,0.0,native_atr,base,0.0,1096.5420166730353,0.820270325121028,99.05203708559736,,,,,,,,,,,,,,,
AAOI,A2_etf_underlying_equiv_d0.0_noreb_base,spot,AAOI3L_USDT,1000.0,993.3996,-0.0066,-6.6004,44.5575,0.044557,-0.032277,0.038194,2144.722576,-3077.5155,-0.033169,198.991,14,32,0.372093,-0.2129,-0.4273,-11.1012,False,0,83,3.542,1.7158,0.184382,same_wallet,long,1.653805,1.715778,0.0,0.0,0.0,-7.287841,-8.254222,0.0,0.0,0.0,0.0,0.0,underlying_equiv,base,0.0,335.0816662044649,0.8166194462181486,144.68620718285354,,,,,,,,,,,,,,,
AAOI,A2_etf_static_pct_d0.0_noreb_base,spot,AAOI3L_USDT,1000.0,943.3155,-0.056684,-56.6845,157.3529,0.157353,-0.102609,0.090293,2136.2975,-26533.9776,-0.089794,631.2725,47,55,0.639535,-2.5625,-4.645,-6.3396,False,0,44,3.542,1.709,0.090053,same_wallet,long,-32.30995,1.709038,0.0,0.0,0.0,-23.156163,-24.37452,0.0,0.0,0.0,0.0,0.0,static_pct,base,0.0,1075.169526398674,0.8164072202658581,94.60215396452634,,,,,,,,,,,,,,,
