symbol,window,range_down_pct,range_up_pct,grid_count,move,sells_only,n_prints,first_px,last_px,arb,n_win,n_loss,grid_profit,mtm,net,equity,max_dd_pct,shifts,n_base,end_quote,inv,gap
SOXL3L_USDT,late,0.0,0.05,10,both,True,30577,0.01701,0.01545,9,7,2,26.1025,0.0,26.1025,2026.1025,0.008468,9984,9,2026.1025,0.0,0.0
SNXX3S_USDT,late,0.0,0.05,10,both,True,13950,0.01135,0.010265,9,2,7,-12.8881,0.0,-12.8881,1987.1119,0.013653,3142,9,1987.1119,0.0,-0.0
SNXX3L_USDT,full,0.0,0.05,10,both,True,37108,1.00171,1.0969,9,9,0,44.0982,0.0,44.0982,2044.0982,0.0,19317,9,2044.0982,0.0,-0.0
SOXL3S_USDT,late,0.0,0.05,10,both,True,33373,3.5857,0.8326,9,3,6,-24.8852,0.0,-24.8852,1975.1148,0.024831,849,9,1975.1148,0.0,0.0
SOXL3L_USDT,full,0.0,0.05,10,both,True,71701,1.00644,0.01545,9,6,3,17.1047,0.0,17.1047,2017.1047,0.01312,931,9,2017.1047,0.0,-0.0
SOXL3S_USDT,full,0.0,0.05,10,both,True,62331,1.01083,0.8326,9,0,9,-65.8754,0.0,-65.8754,1934.1246,0.034853,22167,9,1934.1246,0.0,0.0
SNXX3L_USDT,late,0.0,0.05,20,none,False,19375,2.60438,1.0969,19,19,0,46.5481,0.0,46.5481,2046.5481,0.014174,0,19,2046.5481,0.0,-0.0
SNXX3S_USDT,late,0.0,0.05,20,none,False,13950,0.01135,0.010265,19,19,0,46.5481,0.0,46.5481,2046.5481,0.399532,0,19,2046.5481,0.0,0.0
SNXX3L_USDT,full,0.0,0.05,20,none,False,37108,1.00171,1.0969,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0,0,19,2046.5481,0.0,-0.0
SNXX3S_USDT,full,0.0,0.05,20,none,False,27829,1.0107,0.010265,19,19,0,46.5481,0.0,46.5481,2046.5481,0.06696,0,19,2046.5481,0.0,-0.0
SOXL3L_USDT,late,0.0,0.05,20,none,False,30577,0.01701,0.01545,19,19,0,46.5481,0.0,46.5481,2046.5481,0.008938,0,19,2046.5481,0.0,-0.0
SOXL3S_USDT,late,0.0,0.05,20,none,False,33373,3.5857,0.8326,19,19,0,46.5481,0.0,46.5481,2046.5481,0.197431,0,19,2046.5481,0.0,0.0
SOXL3L_USDT,full,0.0,0.05,20,none,False,71701,1.00644,0.01545,19,19,0,46.5481,0.0,46.5481,2046.5481,0.013109,0,19,2046.5481,0.0,0.0
SOXL3S_USDT,full,0.0,0.05,20,none,False,62331,1.01083,0.8326,19,19,0,46.5481,0.0,46.5481,2046.5481,0.099965,0,19,2046.5481,0.0,0.0
SNXX3L_USDT,late,0.0,0.05,20,none,True,19375,2.60438,1.0969,19,19,0,46.5481,0.0,46.5481,2046.5481,0.014174,0,19,2046.5481,0.0,-0.0
SNXX3S_USDT,late,0.0,0.05,20,none,True,13950,0.01135,0.010265,19,19,0,46.5481,0.0,46.5481,2046.5481,0.399532,0,19,2046.5481,0.0,0.0
SNXX3L_USDT,full,0.0,0.05,20,none,True,37108,1.00171,1.0969,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0,0,19,2046.5481,0.0,-0.0
SNXX3S_USDT,full,0.0,0.05,20,none,True,27829,1.0107,0.010265,19,19,0,46.5481,0.0,46.5481,2046.5481,0.06696,0,19,2046.5481,0.0,-0.0
SOXL3S_USDT,late,0.0,0.05,20,none,True,33373,3.5857,0.8326,19,19,0,46.5481,0.0,46.5481,2046.5481,0.197431,0,19,2046.5481,0.0,0.0
SOXL3L_USDT,late,0.0,0.05,20,none,True,30577,0.01701,0.01545,19,19,0,46.5481,0.0,46.5481,2046.5481,0.008938,0,19,2046.5481,0.0,-0.0
SOXL3S_USDT,full,0.0,0.05,20,none,True,62331,1.01083,0.8326,19,19,0,46.5481,0.0,46.5481,2046.5481,0.099965,0,19,2046.5481,0.0,0.0
SOXL3L_USDT,full,0.0,0.05,20,none,True,71701,1.00644,0.01545,19,19,0,46.5481,0.0,46.5481,2046.5481,0.013109,0,19,2046.5481,0.0,0.0
SNXX3L_USDT,late,0.0,0.05,20,up,False,19375,2.60438,1.0969,608,608,0,132.7617,-1563.9138,-1431.6562,568.3438,0.829018,250,19,32.2577,536.0862,-0.0
SNXX3S_USDT,late,0.0,0.05,20,up,False,13950,0.01135,0.010265,611,611,0,140.5813,-929.3273,-789.25,1210.75,0.519245,239,19,40.0773,1170.6727,-0.0
SNXX3S_USDT,full,0.0,0.05,20,up,False,27829,1.0107,0.010265,57,57,0,52.1812,-1985.1036,-1933.4024,66.5976,0.971009,135,19,51.7012,14.8964,0.0
SNXX3L_USDT,full,0.0,0.05,20,up,False,37108,1.00171,1.0969,1110,1110,0,115.6028,-1568.9178,-1453.819,546.181,0.837238,1322,19,15.0988,531.0822,-0.0
SOXL3L_USDT,late,0.0,0.05,20,up,False,30577,0.01701,0.01545,1351,1351,0,163.3786,-1422.3934,-1259.5188,740.4812,0.706227,716,19,62.8746,677.6066,-0.0
SOXL3S_USDT,late,0.0,0.05,20,up,False,33373,3.5857,0.8326,69,69,0,55.6273,-1580.1318,-1524.9845,475.0155,0.86739,32,19,55.1473,419.8681,0.0
SOXL3S_USDT,full,0.0,0.05,20,up,False,62331,1.01083,0.8326,1340,1340,0,144.1185,-1666.2064,-1522.5919,477.4081,0.875046,1185,19,43.6145,433.7936,0.0
SOXL3L_USDT,full,0.0,0.05,20,up,False,71701,1.00644,0.01545,51,51,0,52.5313,-1970.996,-1918.9448,81.0552,0.964561,13,19,52.0513,29.004,-0.0
SNXX3L_USDT,late,0.0,0.05,20,up,True,19375,2.60438,1.0969,19,19,0,46.5481,0.0,46.5481,2046.5481,0.014174,250,19,2046.5481,0.0,-0.0
SOXL3L_USDT,late,0.0,0.05,20,up,True,30577,0.01701,0.01545,19,19,0,46.5481,0.0,46.5481,2046.5481,0.008938,716,19,2046.5481,0.0,-0.0
SNXX3L_USDT,full,0.0,0.05,20,up,True,37108,1.00171,1.0969,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0,1322,19,2046.5481,0.0,-0.0
SOXL3S_USDT,late,0.0,0.05,20,up,True,33373,3.5857,0.8326,19,19,0,46.5481,0.0,46.5481,2046.5481,0.197431,32,19,2046.5481,0.0,0.0
SNXX3S_USDT,late,0.0,0.05,20,up,True,13950,0.01135,0.010265,19,19,0,46.5481,0.0,46.5481,2046.5481,0.399532,239,19,2046.5481,0.0,0.0
SOXL3L_USDT,full,0.0,0.05,20,up,True,71701,1.00644,0.01545,19,19,0,46.5481,0.0,46.5481,2046.5481,0.013109,13,19,2046.5481,0.0,0.0
