range_down_pct,range_up_pct,grid_count,move,sells_only,full_median_eq,full_mean_eq,full_min_eq,full_max_eq,full_median_net,full_median_profit,full_median_mtm,full_median_dd,full_n_green,late_median_eq,late_mean_eq,late_min_eq,late_max_eq,late_median_net,late_median_profit,late_median_mtm,late_median_dd,late_n_green,score
0.02,0.15,20,none,True,2139.0254,1918.0994,1255.3214,2139.0254,139.0254,139.0254,0.0,0.1612125,3,2139.0254,2070.84845,1866.3176,2139.0254,139.0254,139.0254,0.0,0.1357385,3,1642.63184
0.02,0.15,20,up,True,2139.0254,1918.0994,1255.3214,2139.0254,139.0254,139.0254,0.0,0.1612125,3,2139.0254,2070.84845,1866.3176,2139.0254,139.0254,139.0254,0.0,0.1357385,3,1642.63184
0.02,0.15,10,none,True,2146.6736,1924.8978000000002,1259.5704,2146.6736,146.6736,146.6736,0.0,0.161073,3,2146.6736,2055.771,1783.0632,2146.6736,146.6736,146.6736,0.0,0.1440945,3,1630.39992
0.02,0.15,10,up,True,2146.6736,1924.8978000000002,1259.5704,2146.6736,146.6736,146.6736,0.0,0.161073,3,2146.6736,2055.771,1783.0632,2146.6736,146.6736,146.6736,0.0,0.1440945,3,1630.39992
0.02,0.1,20,none,False,1906.0166,1845.7798500000001,1371.2442,2199.842,-93.98339999999999,137.4828,-231.37025,0.170901,2,2006.2384,2003.69185,1803.6825,2198.6081,6.238399999999999,142.49515,-131.92285,0.19324249999999998,2,1618.16358
0.02,0.1,10,none,False,1943.4436,1859.1065749999998,1269.7867,2279.7524,-56.55640000000001,174.39825,-230.85864999999998,0.17878950000000002,2,2044.0249,2047.8772999999999,1821.8122,2281.6472,44.024899999999995,182.60205,-131.10965,0.19918000000000002,2,1582.28887
0.02,0.05,10,none,False,1776.51795,1810.1482,1450.4986,2237.0583,-223.48205000000002,123.20795,-344.96695,0.223271,2,1928.4872,1928.0109499999999,1618.004,2237.0654,-71.5128,133.10415,-197.0745,0.23422700000000002,2,1581.8054849999999
0.02,0.05,20,none,False,1737.27985,1765.844225,1447.5822,2141.235,-262.72015000000005,84.4176,-345.41755,0.2265175,2,1887.7932500000002,1874.4932,1600.583,2121.8033,-112.20675,90.046,-197.78645,0.235741,2,1565.091655
0.0,0.2,10,none,False,2179.0658,1897.971975,1054.6905,2179.0658,179.0658,179.0658,0.0,0.1797965,3,2179.0658,2039.937575,1622.5529,2179.0658,179.0658,179.0658,0.0,0.16570800000000002,3,1505.57557
0.0,0.2,10,none,True,2179.0658,1897.971975,1054.6905,2179.0658,179.0658,179.0658,0.0,0.1797965,3,2179.0658,2039.937575,1622.5529,2179.0658,179.0658,179.0658,0.0,0.16570800000000002,3,1505.57557
0.0,0.2,10,up,True,2179.0658,1897.971975,1054.6905,2179.0658,179.0658,179.0658,0.0,0.1797965,3,2179.0658,2039.937575,1622.5529,2179.0658,179.0658,179.0658,0.0,0.16570800000000002,3,1505.57557
0.05,0.2,10,none,True,2179.1648,1895.571575,1044.7919,2179.1648,179.1648,179.1648,0.0,0.156003,3,2179.1648,2037.787125,1613.6541,2179.1648,179.1648,179.1648,0.0,0.16665000000000002,3,1498.87621
0.05,0.2,10,up,True,2179.1648,1895.571575,1044.7919,2179.1648,179.1648,179.1648,0.0,0.156003,3,2179.1648,2037.787125,1613.6541,2179.1648,179.1648,179.1648,0.0,0.16665000000000002,3,1498.87621
0.05,0.2,20,none,True,2169.1672,1887.1361,1041.0428,2169.1672,169.1672,169.1672,0.0,0.15614,3,2169.1672,2028.7268,1607.4056,2169.1672,169.1672,169.1672,0.0,0.165239,3,1492.75268
0.05,0.2,20,up,True,2169.1672,1887.1361,1041.0428,2169.1672,169.1672,169.1672,0.0,0.15614,3,2169.1672,2028.7268,1607.4056,2169.1672,169.1672,169.1672,0.0,0.165239,3,1492.75268
0.02,0.2,10,none,True,2161.0701,1881.475925,1042.6934,2161.0701,161.0701,161.0701,0.0,0.161303,3,2161.0701,2022.5417499999999,1606.9567,2161.0701,161.0701,161.0701,0.0,0.166811,3,1491.0590700000002
0.02,0.2,10,up,True,2161.0701,1881.475925,1042.6934,2161.0701,161.0701,161.0701,0.0,0.161303,3,2161.0701,2022.5417499999999,1606.9567,2161.0701,161.0701,161.0701,0.0,0.166811,3,1491.0590700000002
0.0,0.2,20,none,False,2189.0139,1879.8107,952.2011,2189.0139,189.0139,189.0139,0.0,0.18224049999999997,3,2189.0139,2049.13585,1629.5017,2189.0139,189.0139,189.0139,0.0,0.167341,3,1458.7050600000002
0.0,0.2,20,none,True,2189.0139,1879.8107,952.2011,2189.0139,189.0139,189.0139,0.0,0.18224049999999997,3,2189.0139,2049.13585,1629.5017,2189.0139,189.0139,189.0139,0.0,0.167341,3,1458.7050600000002
0.0,0.2,20,up,True,2189.0139,1879.8107,952.2011,2189.0139,189.0139,189.0139,0.0,0.18224049999999997,3,2189.0139,2049.1358499999997,1629.5017,2189.0139,189.0139,189.0139,0.0,0.167341,3,1458.7050600000002
0.02,0.2,20,none,True,2190.9134,1880.33555,948.602,2190.9134,190.9134,190.9134,0.0,0.182431,3,2190.9134,2027.3724499999998,1536.7496,2190.9134,190.9134,190.9134,0.0,0.1906,3,1438.92494
0.02,0.2,20,up,True,2190.9134,1880.33555,948.602,2190.9134,190.9134,190.9134,0.0,0.182431,3,2190.9134,2027.3724499999998,1536.7496,2190.9134,190.9134,190.9134,0.0,0.1906,3,1438.92494
0.02,0.15,20,none,False,2011.30805,1807.7924750000002,960.7129,2247.8409,11.308050000000009,184.84335,-173.4633,0.18787800000000002,2,2089.36585,2022.4321499999999,1658.6287,2252.3682,89.36585,187.68824999999998,-98.8398,0.18150650000000002,2,1415.474605
0.05,0.1,20,none,False,1768.07415,1727.4727,1059.5637,2314.1788,-231.92585000000003,168.07555,-399.83340000000004,0.254057,2,1935.991,1946.4407,1588.6598,2325.121,-64.00900000000001,167.97985,-222.81385,0.26595199999999997,2,1377.9360550000001
0.02,0.2,10,none,False,2103.2128000000002,1840.6566,845.7783,2310.4225,103.2128,218.17545,-114.9147,0.1769365,2,2147.19805,2020.793525,1480.6528,2308.1252,147.19805,211.58640000000003,-64.7367,0.2129435,3,1349.98355
0.02,0.15,10,none,False,2012.15515,1822.68435,869.0002,2397.4269,12.155150000000006,243.53140000000002,-231.2802,0.19581649999999998,2,2119.0978999999998,2024.6884499999999,1497.0518,2363.5062,119.09790000000001,250.18779999999998,-131.7798,0.241041,2,1337.557005
0.05,0.15,20,none,False,1918.4252000000001,1756.3336000000002,854.9192,2333.5648,-81.57479999999998,203.59335,-285.04814999999996,0.19601,2,2037.353,2007.987975,1598.5837,2358.6622,37.35300000000001,194.7547,-158.28295,0.2302275,2,1322.7039
