symbol,window,range_down_pct,range_up_pct,grid_count,move,sells_only,n_prints,first_px,last_px,arb,n_win,n_loss,grid_profit,mtm,net,equity,max_dd_pct,shifts,n_base,end_quote,inv,gap,scenario,seg_id
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.05,20,up,False,1906,0.46705,0.87982,596,596,0,122.1033,-10.9978,110.7695,2110.7695,0.365936,346,19,721.7673,1389.0022,-0.0,from_trough,SOXL3L_jun_trough
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.05,20,up,False,1906,0.72385,1.83695,895,895,0,132.3798,-305.585,-173.7092,1826.2908,0.289418,778,19,31.8758,1794.415,-0.0,from_trough,SOXL3S_jun_trough
SNXX3L_USDT,SNXX3L_open_trough,0.0,0.05,20,up,False,1078,0.53062,2.35386,556,556,0,76.8429,-67.5852,8.7776,2008.7776,0.259916,1426,19,76.3629,1932.4148,-0.0,from_trough,SNXX3L_open_trough
SNXX3L_USDT,SNXX3L_open_high,0.0,0.05,20,up,False,1469,1.00171,2.35386,471,471,0,98.6568,-58.9158,39.261,2039.261,0.625776,558,19,98.1768,1941.0842,-0.0,from_high,SNXX3L_open_high
SNXX3L_USDT,SNXX3L_aug_trough,0.0,0.05,20,up,False,7892,0.56854,4.04558,2315,1870,445,185.1462,-146.0148,38.6274,2038.6274,0.197519,2649,19,84.6422,1953.9852,-0.0,from_trough,SNXX3L_aug_trough
SOXL3S_USDT,SOXL3S_aug_trough,0.0,0.05,20,up,False,5412,0.465,0.9645,880,880,0,138.0083,-122.2419,15.2624,2015.2624,0.248988,471,19,37.5043,1977.7581,0.0,from_trough,SOXL3S_aug_trough
SOXL3S_USDT,SOXL3S_jun_trough,0.0,0.05,20,up,True,1906,0.72385,1.83695,19,19,0,46.5481,0.0,46.5481,2046.5481,0.002876,778,19,2046.5481,0.0,-0.0,from_trough,SOXL3S_jun_trough
SOXL3L_USDT,SOXL3L_jun_trough,0.0,0.05,20,up,True,1906,0.46705,0.87982,19,19,0,46.5481,0.0,46.5481,2046.5481,0.020536,346,19,2046.5481,0.0,-0.0,from_trough,SOXL3L_jun_trough
SOXL3L_USDT,SOXL3L_jun_high,0.0,0.05,20,up,True,3860,0.80587,0.87982,19,19,0,46.5481,0.0,46.5481,2046.5481,0.296221,24,19,2046.5481,0.0,0.0,from_high,SOXL3L_jun_high
SNXX3L_USDT,SNXX3L_aug_high,0.0,0.05,20,up,False,14773,2.17321,4.04558,975,975,0,172.132,-127.9836,43.6444,2043.6444,0.778659,383,19,71.628,1972.0164,0.0,from_high,SNXX3L_aug_high
SNXX3L_USDT,SNXX3L_open_high,0.0,0.05,20,up,True,1469,1.00171,2.35386,19,19,0,46.5481,0.0,46.5481,2046.5481,0.0,558,19,2046.5481,0.0,-0.0,from_high,SNXX3L_open_high
