range_down_pct,range_up_pct,grid_count,move,sells_only,median_eq,mean_eq,min_eq,max_eq,median_net,median_profit,median_mtm,n_green,n_seg,score
0.02,0.1,10,up,True,2092.6865,2092.6865,2092.6865,2092.6865,92.6865,92.6865,0.0,5,5,2092.6865
0.05,0.1,20,none,False,2107.1342,2105.57432,2079.7188,2130.8926,107.1342,107.1342,0.0,5,5,2090.68496
0.0,0.1,10,none,False,2089.0874,2089.0874,2089.0874,2089.0874,89.0874,89.0874,0.0,5,5,2089.0874
0.0,0.1,10,none,True,2089.0874,2089.0874,2089.0874,2089.0874,89.0874,89.0874,0.0,5,5,2089.0874
0.0,0.1,10,up,True,2089.0874,2089.0874,2089.0874,2089.0874,89.0874,89.0874,0.0,5,5,2089.0874
0.02,0.1,20,none,True,2087.5373,2087.5373,2087.5373,2087.5373,87.5373,87.5373,0.0,5,5,2087.5373
0.02,0.1,20,up,True,2087.5373,2087.5373,2087.5373,2087.5373,87.5373,87.5373,0.0,5,5,2087.5373
0.05,0.1,10,none,True,2076.2885,2076.2885,2076.2885,2076.2885,76.2885,76.2885,0.0,5,5,2076.2885
0.05,0.1,10,up,True,2076.2885,2076.2885,2076.2885,2076.2885,76.2885,76.2885,0.0,5,5,2076.2885
0.05,0.1,20,none,True,2071.0398,2071.0398,2071.0398,2071.0398,71.0398,71.0398,0.0,5,5,2071.0398
0.05,0.1,20,up,True,2071.0398,2071.0398,2071.0398,2071.0398,71.0398,71.0398,0.0,5,5,2071.0398
0.05,0.05,10,none,False,2102.0619,2091.91204,2047.2124,2131.3577,102.0619,102.0619,0.0,5,5,2069.1522
0.05,0.05,10,up,False,2207.3179,2194.4447800000003,1971.6172,2373.9517,207.3179,258.8731,-90.4768,4,5,2065.89748
0.02,0.1,20,up,False,2172.7388,2167.5161799999996,1992.7485,2315.3522,172.7388,255.0397,-72.319,4,5,2064.74462
0.02,0.05,10,none,False,2075.7163,2070.15118,2046.5889,2100.847,75.7163,75.7163,0.0,5,5,2058.23986
0.02,0.05,20,none,False,2054.334,2053.77322,2041.462,2071.4587,54.334,54.334,0.0,5,5,2046.6108
0.0,0.05,20,none,False,2046.5481,2046.5481,2046.5481,2046.5481,46.5481,46.5481,0.0,5,5,2046.5481
0.0,0.05,20,none,True,2046.5481,2046.5481,2046.5481,2046.5481,46.5481,46.5481,0.0,5,5,2046.5481
0.0,0.05,20,up,True,2046.5481,2046.5481,2046.5481,2046.5481,46.5481,46.5481,0.0,5,5,2046.5481
0.05,0.05,20,none,False,2061.8717,2062.1787799999997,2036.3162,2088.7404,61.8717,61.8717,0.0,5,5,2046.5384000000001
0.0,0.05,10,none,False,2044.0982,2044.0982,2044.0982,2044.0982,44.0982,44.0982,0.0,5,5,2044.0982
0.0,0.05,10,none,True,2044.0982,2044.0982,2044.0982,2044.0982,44.0982,44.0982,0.0,5,5,2044.0982
0.0,0.05,10,up,True,2044.0982,2044.0982,2044.0982,2044.0982,44.0982,44.0982,0.0,5,5,2044.0982
0.02,0.05,10,none,True,2039.9982,2039.9982,2039.9982,2039.9982,39.9982,39.9982,0.0,5,5,2039.9982
0.02,0.05,10,up,True,2039.9982,2039.9982,2039.9982,2039.9982,39.9982,39.9982,0.0,5,5,2039.9982
0.02,0.05,20,none,True,2037.4983,2037.4983,2037.4983,2037.4983,37.4983,37.4983,0.0,5,5,2037.4982999999997
