range_down_pct,range_up_pct,grid_count,move,sells_only,median_eq,mean_eq,min_eq,max_eq,median_net,median_profit,median_mtm,n_green,n_seg,score
0.02,0.2,10,both,True,2161.0701,2106.5232,1993.9102,2161.0701,161.0701,161.0701,0.0,4,5,2060.77416
0.02,0.2,20,both,True,2190.9134,2115.91142,1963.2681,2190.9134,190.9134,190.9134,0.0,4,5,2054.32622
0.02,0.05,10,up,False,2179.6627,2178.7221799999998,1969.1415,2412.4007,179.6627,284.0359,-117.0736,4,5,2053.34998
0.02,0.15,10,both,True,2146.6736,2100.44468,1990.3111,2146.6736,146.6736,146.6736,0.0,4,5,2052.8561
0.05,0.15,20,both,True,2119.2287,2085.43682,2007.2556,2119.2287,119.2287,119.2287,0.0,5,5,2052.04484
0.0,0.2,20,both,True,2135.0269,2112.63224,1992.0612,2189.0139,135.0269,135.0269,0.0,4,5,2049.24748
0.02,0.15,20,both,True,2139.0254,2094.15618,1987.7617,2139.0254,139.0254,139.0254,0.0,4,5,2048.26718
0.0,0.05,20,none,False,2046.5481,2046.5481,2046.5481,2046.5481,46.5481,46.5481,0.0,5,5,2046.5481
0.0,0.05,20,none,True,2046.5481,2046.5481,2046.5481,2046.5481,46.5481,46.5481,0.0,5,5,2046.5481
0.0,0.05,20,up,True,2046.5481,2046.5481,2046.5481,2046.5481,46.5481,46.5481,0.0,5,5,2046.5481
0.0,0.1,20,up,False,2187.4799,2139.50812,1951.7519,2231.4039,187.4799,242.464,-96.9422,4,5,2046.0430999999999
0.0,0.05,10,none,False,2044.0982,2044.0982,2044.0982,2044.0982,44.0982,44.0982,0.0,5,5,2044.0982
0.0,0.05,10,none,True,2044.0982,2044.0982,2044.0982,2044.0982,44.0982,44.0982,0.0,5,5,2044.0982
0.0,0.05,10,up,True,2044.0982,2044.0982,2044.0982,2044.0982,44.0982,44.0982,0.0,5,5,2044.0982
0.02,0.05,10,none,False,2042.6324,2055.86796,2039.9982,2094.2967,42.6324,42.6324,0.0,5,5,2041.05188
0.05,0.2,20,both,True,2169.1672,2099.9338199999997,1954.2188,2169.1672,169.1672,169.1672,0.0,4,5,2040.19816
0.02,0.05,10,none,True,2039.9982,2039.9982,2039.9982,2039.9982,39.9982,39.9982,0.0,5,5,2039.9982
0.02,0.05,10,up,True,2039.9982,2039.9982,2039.9982,2039.9982,39.9982,39.9982,0.0,5,5,2039.9982
