symbol,fill_model,sizing,reanchor,initial_equity,final_equity,total_return,annualized_return,max_drawdown,max_intraday_drawdown,realized_grid_profit,inventory_unrealized_pnl,directional_pnl,gross_trading_profit,gross_fee,rebate_income,net_fee,ETF_management_fee,total_turnover_USDT,daily_average_turnover,number_of_grid_fills,number_of_round_trips,maker_fill_count,taker_fill_count,profit_per_100k_turnover,profit_per_1m_turnover,return / max_drawdown,Sharpe,Sortino,worst_day,best_day,longest_underwater_period,capital_utilization,grid_profit,initial_market_buy,initial_taker_fee,initial_slippage,reanchors,closed_grid_loss,paused_buys,window_id,confidence,allowed_in_stats,rebate_rate,n_prints,data_status,fee_source,range_mult,grid_n,start,end,regime
SOXL3L_USDT,conservative,fixed_quote,off,1500.0,1454.5978936889512,-0.030268070874032493,-0.37339402356131246,,,166.37663150104822,-3450.5132936100636,0.0,-3284.1366621090156,8.041136707580725,0.0,8.041136707580725,5.179758156942372,10018.008838472675,417.41703493636146,1621,511,1621,1,-453.20489373785273,-4532.048937378528,,0.0,0.0,,,0,0.1963468877587088,166.37663150104822,534.6020252396547,0.454403825644399,0.009289187420552023,0,0.0,False,SOXL3L_USDT_drop_then_rise_45d_24,REAL_GATE_ETF_WINDOW,True,0.0,22740,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-06-26 09:00:00+00:00,2026-08-10 08:00:00+00:00,drop_then_rise
SOXL3L_USDT,conservative,fixed_quote,off,1500.0,1454.5978936889512,-0.030268070874032493,-0.37339402356131246,,,166.37663150104822,-3450.5132936100636,0.0,-3284.1366621090156,8.041136707580725,5.628795695306509,2.412341012274216,5.179758156942372,10018.008838472675,417.41703493636146,1621,511,1621,1,-453.20489373785273,-4532.048937378528,,0.0,0.0,,,0,0.1963468877587088,166.37663150104822,534.6020252396547,0.454403825644399,0.009289187420552023,0,0.0,False,SOXL3L_USDT_drop_then_rise_45d_24,REAL_GATE_ETF_WINDOW,True,0.7,22740,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-06-26 09:00:00+00:00,2026-08-10 08:00:00+00:00,drop_then_rise
SOXL3L_USDT,base,fixed_quote,off,1500.0,1215.5123588967547,-0.18965842740216354,-0.9644693811118334,,,17.14288444487457,-1164.5278144228646,0.0,-1147.38492997799,2.656310872577187,0.0,2.656310872577187,12.01732113882695,3286.9765447182226,142.91202368340097,187,60,187,1,-8654.994559069271,-86549.94559069272,,0.0,0.0,,,0,0.5573140468566442,17.14288444487457,534.5927360522343,0.45440382564439913,0.0,0,0.0,False,SOXL3L_USDT_high_vol_chop_21d_768,REAL_GATE_ETF_WINDOW,True,0.0,21715,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-07-27 09:00:00+00:00,2026-08-17 08:00:00+00:00,high_vol_chop
SOXL3L_USDT,base,fixed_quote,off,1500.0,1215.5123588967547,-0.18965842740216354,-0.9644693811118334,,,17.14288444487457,-1164.5278144228646,0.0,-1147.38492997799,2.656310872577187,1.8594176108040297,0.7968932617731572,12.01732113882695,3286.9765447182226,142.91202368340097,187,60,187,1,-8654.994559069271,-86549.94559069272,,0.0,0.0,,,0,0.5573140468566442,17.14288444487457,534.5927360522343,0.45440382564439913,0.0,0,0.0,False,SOXL3L_USDT_high_vol_chop_21d_768,REAL_GATE_ETF_WINDOW,True,0.7,21715,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-07-27 09:00:00+00:00,2026-08-17 08:00:00+00:00,high_vol_chop
SOXL3L_USDT,conservative,fixed_quote,off,1500.0,1278.7703657475354,-0.14748642283497637,-0.9205196393165421,,,10.801434698935003,-767.387372878853,0.0,-756.5859381799179,1.7391921478424917,0.0,1.7391921478424917,7.906788813875158,2140.578138799849,93.06861473042822,202,59,202,1,-10335.041278918261,-103350.4127891826,,0.0,0.0,,,0,0.38180795251906274,10.801434698935003,534.6001661111092,0.45440382564439913,0.007430058874951618,0,0.0,False,SOXL3L_USDT_high_vol_chop_21d_768,REAL_GATE_ETF_WINDOW,True,0.0,21715,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-07-27 09:00:00+00:00,2026-08-17 08:00:00+00:00,high_vol_chop
SOXL3L_USDT,conservative,fixed_quote,off,1500.0,1278.7703657475354,-0.14748642283497637,-0.9205196393165421,,,10.801434698935003,-767.387372878853,0.0,-756.5859381799179,1.7391921478424917,1.2174345034897438,0.5217576443527479,7.906788813875158,2140.578138799849,93.06861473042822,202,59,202,1,-10335.041278918261,-103350.4127891826,,0.0,0.0,,,0,0.38180795251906274,10.801434698935003,534.6001661111092,0.45440382564439913,0.007430058874951618,0,0.0,False,SOXL3L_USDT_high_vol_chop_21d_768,REAL_GATE_ETF_WINDOW,True,0.7,21715,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-07-27 09:00:00+00:00,2026-08-17 08:00:00+00:00,high_vol_chop
SOXL3L_USDT,base,fixed_quote,off,1500.0,538.2802103220318,-0.6411465264519788,-0.999991619425482,,,9.34511582064386,-1475.0639530509086,0.0,-1465.7188372302646,1.8994726104968649,0.0,1.8994726104968649,6.0363188779500465,2340.9287171178157,73.15402240993174,152,49,152,1,-41082.83104246126,-410828.3104246126,,0.0,0.0,,,0,0.05836184850572468,9.34511582064386,534.5927360522343,0.45440382564439913,0.0,0,0.0,False,SOXL3L_USDT_trend_down_30d_144,REAL_GATE_ETF_WINDOW,True,0.0,40246,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-07-01 09:00:00+00:00,2026-07-31 08:00:00+00:00,trend_down
SOXL3L_USDT,base,fixed_quote,off,1500.0,538.2802103220318,-0.6411465264519788,-0.999991619425482,,,9.34511582064386,-1475.0639530509086,0.0,-1465.7188372302646,1.8994726104968649,1.3296308273478048,0.5698417831490601,6.0363188779500465,2340.9287171178157,73.15402240993174,152,49,152,1,-41082.83104246126,-410828.3104246126,,0.0,0.0,,,0,0.05836184850572468,9.34511582064386,534.5927360522343,0.45440382564439913,0.0,0,0.0,False,SOXL3L_USDT_trend_down_30d_144,REAL_GATE_ETF_WINDOW,True,0.7,40246,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-07-01 09:00:00+00:00,2026-07-31 08:00:00+00:00,trend_down
SOXL3L_USDT,conservative,fixed_quote,off,1500.0,697.8083657255439,-0.5347944228496374,-0.9998381641306858,,,4.271545467051839,-968.1324575463199,0.0,-963.860912079268,1.1820607180155225,0.0,1.1820607180155225,4.811990408473574,1444.1638515161371,45.130120359879285,163,46,163,1,-55547.13431112995,-555471.3431112996,,0.0,0.0,,,0,0.03588838040662623,4.271545467051839,534.5933430128891,0.45440382564439913,0.0006069606549582828,0,0.0,False,SOXL3L_USDT_trend_down_30d_144,REAL_GATE_ETF_WINDOW,True,0.0,40246,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-07-01 09:00:00+00:00,2026-07-31 08:00:00+00:00,trend_down
SOXL3L_USDT,conservative,fixed_quote,off,1500.0,697.8083657255439,-0.5347944228496374,-0.9998381641306858,,,4.271545467051839,-968.1324575463199,0.0,-963.860912079268,1.1820607180155225,0.8274425026108655,0.354618215404657,4.811990408473574,1444.1638515161371,45.130120359879285,163,46,163,1,-55547.13431112995,-555471.3431112996,,0.0,0.0,,,0,0.03588838040662623,4.271545467051839,534.5933430128891,0.45440382564439913,0.0006069606549582828,0,0.0,False,SOXL3L_USDT_trend_down_30d_144,REAL_GATE_ETF_WINDOW,True,0.7,40246,ok,qtb.costs.fees._SPOT_VIP_TABLE[7],1.0,56,2026-07-01 09:00:00+00:00,2026-07-31 08:00:00+00:00,trend_down
